file_name,hypothesis,rule
JoF_2000_2021_full_text\1041.txt,"Hypothesis 2 is not identified cleanly—a positive coefficient here is consistent with the hypothesis but may indicate a risk premium; conversely, the coefficient may understate the amount of hold‐up due to risk if some of this is incorporated in the coefficients of other risk proxies.By contrast, the interaction",3
JoF_2000_2021_full_text\1041.txt,"Hypothesis 2: Recessions correlate with the other risk factors included in the regression. Also, the sum of the coefficients is not statistically different from zero. Our fourth test attempts to control for changes in the level of the interest rate used to compute the loan spreads. Toward this end we add to the ",3
JoF_2000_2021_full_text\1044.txt,We hypothesize that the fraction of negative words contained in the article is related to the impact of the news event on Microsoft's market value (Tetlock (2007)).,2
JoF_2000_2021_full_text\1044.txt,"we hypothesize that investors do not immediately respond in full to the news embedded in negative words. To test this theory, we explore whether negative words predict firms' future stock returns. A.",2
JoF_2000_2021_full_text\1044.txt,"Our specific hypothesis is that negative words in news stories that mention the word stem “earn” contain more information about firms' fundamentals than other stories. If this is the case, we should observe three effects. First, negative words in stories that include the word stem “earn” should be better predictors of earnings.",4
JoF_2000_2021_full_text\1045.txt,"Our null hypothesis is that if political economy considerations related to the impact of financial development on competition matter, variation in the relative strength of promoters should map into changes in financial sector development.",4
JoF_2000_2021_full_text\1045.txt,"Our hypothesis is that the coefficient of interest, β, is positive and statistically significant. We do not include stock market measures of financial development in the analysis mainly for data reasons.",4
JoF_2000_2021_full_text\1046.txt,Our hypothesis is that an individual's equity market participation decision is influenced by the equity market participation of other individuals in the community.,4
JoF_2000_2021_full_text\1046.txt,"we cannot reject the hypothesis that the coefficients on the two components of the instrument are the same, and (ii) the two instruments are jointly significant (p‐value of 0.0034).",5
JoF_2000_2021_full_text\1047.txt,"we cannot reject the hypothesis that short sales by other account types (individual, institutional and proprietary program trades, and other accounts) are completely uninformed, as none of the alphas are statistically different from zero.",5
JoF_2000_2021_full_text\1048.txt,"we hypothesize that loan interest rates should reflect banks' expected losses from default in each country. In particular, if low recovery rates for banks in France result in greater overall expected losses from SME portfolios, then loan spreads in France should be higher than in other countries.",2
JoF_2000_2021_full_text\1048.txt,"We hypothesize that for older firms the uncertainty about the asset value is smaller due to the bank's knowledge of management and the firm, making the bank more willing to make concessions in an informal renegotiation than to seek repayment through formal bankruptcy.",2
JoF_2000_2021_full_text\1051.txt,we hypothesize that conglomerate segments are more likely to exploit investment opportunities in growth industries if their other segments are in declining industries.,2
JoF_2000_2021_full_text\1051.txt,"Hypothesis 1 that the mitigating effects of organizational form on financial dependence are greatest in growing industries. Lastly, given Lamont and Polk's (2002) finding that the diversity of a conglomerate's operations across industries affects its value, we include a variable capturing a firm's diversity of o",3
JoF_2000_2021_full_text\1059.txt,"We hypothesize that the average repurchasing firm is likely to temporarily deflate its earnings in the quarter of and/or the quarter prior to the repurchase announcement. The results reported in Table II strongly support this conjecture. However, it is possible that our sample firms systematically have low accruals.",2
JoF_2000_2021_full_text\1059.txt,"We hypothesize that the post‐repurchase improvement in operating performance is negatively associated with pre‐repurchase earnings management. Consistent with our expectation, we find that pre‐repurchase abnormal accruals have a strong negative association with post‐repurchase operating performance.",2
JoF_2000_2021_full_text\106.txt,"well as the hypothesis that they view sustainability as a negative characteristic, but it leaves open the question of which specific aspect of sustainability drives investors to reallocate funds from one‐globe funds to five‐globe funds.",5
JoF_2000_2021_full_text\106.txt,well as the hypothesis that one‐globe funds outperformed five‐globe funds.,5
JoF_2000_2021_full_text\106.txt,"is based on institutional constraints. For example, a university endowment may impose implicit or explicit constraints on its managers to avoid or invest in certain types of funds irrespective of maximizing returns. If the results are being driven by such constraints, then the reaction of institutions should be different from that of noninstitutional investors who do not share the same constraints. To test this hypothesis",6
JoF_2000_2021_full_text\1068.txt,"We also test the hypothesis that the increase in volatility before a week of intense trading is equal to the decrease in volatility afterwards, and cannot reject it at conventional significance levels.",5
JoF_2000_2021_full_text\1068.txt,"ote that our results complement theirs, and indeed the two studies document return patterns that mirror each other using very different data sources. If the excess returns we document following intense net individual trading represent “compensation” for providing liquidity to institutions, we should expect to find larger compensation for accommodating institutional order flow in less liquid stocks. To test this hypothesis",6
JoF_2000_2021_full_text\1076.txt,We hypothesize that higher liquidation costs and bargaining power of equity result in higher spreads regardless of whether equityholders can default strategically or not.,2
JoF_2000_2021_full_text\1076.txt,"Hypothesis 1 (Bargaining power and spreads): Higher bargaining power of equity results in higher debt spreads. Of central interest is the question: Does the possibility of renegotiation influence spreads, and if so, when is the effect most pronounced? As Hart and Moore (1998) and Fan and Sundaresan (2000) point ",3
JoF_2000_2021_full_text\1076.txt,"Hypothesis 2 (Renegotiation frictions and spreads): Higher renegotiation frictions reduce the probability of strategic default, but also the recovery rates conditional on default. The overall influence of renegotiation on spreads depends on whether the strategic default or the recovery effect dominates. In gener",3
JoF_2000_2021_full_text\1076.txt,"Hypothesis 3 (Bargaining power and the effect of renegotiation frictions): Assume that either (1) the effect of bargaining power on spread sensitivity to renegotiation frictions, ϕ, is monotonic, or (2) thatϕ<0. Then ϕ is a decreasing function of the bargaining power of equity. The distribution of bargaining pow",3
JoF_2000_2021_full_text\1076.txt,"Hypothesis 4 (Liquidation costs and the effect of bargaining power): The absolute value of the spread sensitivity to bargaining power is increasing in liquidation costs. Hypothesis 5 (Liquidation costs and the effect of renegotiation frictions): Ifϕ<0, then the absolute value of the spread sensitivity to renegot",3
JoF_2000_2021_full_text\1076.txt,"Hypothesis 3 states that the impact of strategic debt service should be higher when equity's bargaining power is high. This implies that the cross‐term of equity's bargaining power and renegotiation frictions should be negatively related to spreads, since the negative strategic default effect increasingly domina",3
JoF_2000_2021_full_text\1076.txt,Hypothesis 4 predicts that the correlation of spreads with equity's bargaining power should become more positive as liquidation costs increase. This implies that the interaction term between liquidation costs and bargaining power is expected to be positive. Columns (3) to (4) of Table VII provide support for thi,3
JoF_2000_2021_full_text\1076.txt,"Hypothesis 5 predicts that since the importance of strategic actions increases with liquidation costs, the product of liquidation costs with renegotiation frictions should be negatively correlated with spreads. Columns (5) to (8) of Table VII show that this appears to be the case in our sample. All four interact",3
JoF_2000_2021_full_text\1076.txt,"Hypothesis 1: Differentiating h with respect to bargaining power, η, yieldsimplying that spreads are increasing in the bargaining power of equity. Both the strategic default effect and the recovery rate effect depress debt values for high values of η. Hypothesis 2: The risk‐neutral probability of default is decr",3
JoF_2000_2021_full_text\1076.txt,"Hypothesis 3: Differentiating ϕ with respect to bargaining power, η, yieldsThis expression is always negative forη=1. However, for some parameters it can turn positive for low values of η. If ϕ is a monotonic function of η, it must be that∂ϕ∂η<0 throughout. Also, this expression is always negative whenϕ<0. To se",3
JoF_2000_2021_full_text\1076.txt,"Hypothesis 4: The relevant second derivative of h is Thus, the sensitivity of spreads to bargaining power increases with liquidation costs. Hypothesis 5: Differentiating ϕ with respect to liquidation costs, α, yieldsIfϕ<0, then necessarilym<0 and the above equation implies∂ϕ∂α<0. Thus, when the strategic effect ",3
JoF_2000_2021_full_text\1080.txt,We hypothesize that this effect works in large part through small businesses because of the intertwining of the personal finances of bank‐dependent small business owners with the finances of their firms. We find two sets of results consistent with this hypothesis.,2
JoF_2000_2021_full_text\1084.txt,"we can reject the hypothesis that the true difference is greater than 2 bp, which itself is trivial (note that these are annualized rates, so a 2 bp interest rate reduction for one day implies $0.56 less income on $1MM of collateral).",5
JoF_2000_2021_full_text\1085.txt,"We hypothesize that the changes in R&D intensity observed in Table IV are related to the changes in O‐score factors observed in Table II resulting in greater misclassification of nondistressed R&D intensive firms as financially distressed. Indeed, the evidence reported in Figure 1 supports our conjecture.",2
JoF_2000_2021_full_text\1086.txt,"We cannot reject the hypothesis that price differences are as large today as they were a decade ago. We control for a host of factors known (or thought) to affect corporate debt decisions and pricing. Although many controls are correlated with levels of spreads, they have little effect on the price difference across markets.",5
JoF_2000_2021_full_text\1086.txt,"We cannot reject the hypothesis that our finding is evidence of market inefficiency in the sense of myopic behavior by market participants. However, the size of the pricing difference and the sophistication of syndicated loan market participants lead us to discount this possibility.",5
JoF_2000_2021_full_text\1088.txt,"Hypothesis 1: DOUT predicts negative future returns. DOUT captures the case in which both the cost of shorting (i.e., loan fee) and the amount that investors are willing to short at this higher cost increase. Effectively, more capital is betting that the price will decrease, despite the higher explicit cost of b",3
JoF_2000_2021_full_text\1088.txt,"Hypothesis 2: DIN predicts positive future returns. DIN captures the case in which both shorting costs and the amount that investors borrow at this lower price decrease. DIN predicts positive future returns: Even though shorting costs decrease, investors are willing to allocate less capital to shorting. We expec",3
JoF_2000_2021_full_text\1088.txt,"Hypothesis 3: SIN predicts positive future returns, as tightening the constraint allows additional overpricing. We postulate that decreases in shorting supply (SIN) indicate tightening of short sale constraints, and increases in shorting supply (SOUT) indicate relaxing of short sale constraints. SIN indicates an",3
JoF_2000_2021_full_text\1088.txt,"Hypothesis 4: SOUT predicts negative future returns: The constraint on previously overpriced securities relaxes, and their prices converge back to fundamental value. By contrast, SOUT indicates a decline in the cost of shorting coupled with an increase in the amount investors are willing to borrow at this lower ",3
JoF_2000_2021_full_text\1088.txt,"we evaluate the hypothesis that the loan fee is a sufficient statistic for overpricing. As noted earlier, a number of papers find that the cost of shorting (loan fee) is correlated with future returns. In the regressions of Table III, we also find evidence of such a link.",5
JoF_2000_2021_full_text\1089.txt,"Hypothesis 1: Stock prices will decrease when short‐sales restrictions are repealed. This hypothesis is based on Miller's (1977) overvaluation theory and relevant optimism models of short‐sales constraints discussed previously. Specifically, this hypothesis suggests that, ceteris paribus, one would expect to obs",3
JoF_2000_2021_full_text\1089.txt,"Hypothesis 2: The overvaluation effect of short‐sales constraints is positively associated with the extent of dispersion of opinions; the more diverse the opinions, the more stock prices will decrease when short‐sales restrictions are repealed. This hypothesis stresses the second condition of Miller's (1977) ove",3
JoF_2000_2021_full_text\1089.txt,Hypothesis 1 and giving credence to the argument that much of the negative CARs can be attributed to the lifting of short‐sales constraints. B.4. Announcement Dates EffectOne concern related to potential misspecification of our statistics has to do with the fact that the event date as defined in this study is th,3
JoF_2000_2021_full_text\1089.txt,"Hypothesis 2 by estimating several versions of a cross‐sectional regression in which the dependent variable is an abnormal return measure around additions, and the regressors are variables that proxy for the dispersion of investor opinions. Variables discussed in Subsections C.2 and C.3 are also examined and con",3
JoF_2000_2021_full_text\1089.txt,"Hypothesis 1 in that more thorough lifting of short‐sales constraints leads to larger price decreases. Based on the findings in columns 4 to 6 of Table V, we repeat the CAR regressions on proxies of dispersion of investor opinions while controlling for D_TICK. In columns 7 to 9, the coefficients on SIGMAraw, SIG",3
JoF_2000_2021_full_text\1089.txt,"Hypothesis 2 is strongly supported by our tests. III. Short‐Sales Constraints and the Distribution of Stock ReturnsIn this section, we examine the distribution characteristics of stock returns before and after addition events. Although short‐sales restrictions are nearly as old as organized exchanges, whether sh",3
JoF_2000_2021_full_text\1089.txt,Hypothesis 1 and is consistent with Miller's (1977) arguments that short‐sales constraints tend to prevent some negative information from being impounded into prices and that such constraints result in stock overvaluation. We regress postevent cumulative abnormal returns over variables that proxy for the dispers,3
JoF_2000_2021_full_text\1097.txt,"We hypothesize that analyst disagreement about future earnings creates a situation in which mistaken beliefs coincide with unusually high transaction costs. Mistaken beliefs are corrected quickly, ensuring that the mispricing is fairly short‐lived.",2
JoF_2000_2021_full_text\1097.txt,"Hypothesis 1: Trading costs increase with analyst disagreement.  Hypothesis 2: Within the subsample of stocks with a high level of analyst disagreement, the stocks with the highest price impact of trade are the most overpriced and earn the lowest future returns.  Hypothesis 3: Initially overpriced high‐disagreem",3
JoF_2000_2021_full_text\1097.txt,"Hypothesis 1 states that trading costs increase with analyst disagreement. Consistent with this hypothesis, Table III shows that both the price impact and the effective spread increase with analyst disagreement. The table reports average trading costs for 25 portfolios sorted by analyst disagreement. Portfolios ",3
JoF_2000_2021_full_text\1097.txt,Hypothesis 1 is that potential arbitrage profits from selling short high‐disagreement stocks will fall dramatically when trading costs are taken into account. The rough estimate of the post‐transaction‐cost profitability of trading strategies based on analyst disagreement presented in Appendix C shows this to be,3
JoF_2000_2021_full_text\1097.txt,Hypothesis 3 states that unexpected time‐series increases in liquidity reduce mispricing. We use the Sadka (2006) time series of unexpected changes in aggregate liquidity rather than changes in liquidity for individual stocks because in using the aggregate measure we are focusing on the common component of liqui,3
JoF_2000_2021_full_text\1102.txt,"Hypothesis 1: Skewness is positively correlated with contemporaneous return, and negatively correlated with lagged returns. This hypothesis concerns the joint dynamics of skewness and returns. It has two parts. The first part relates to the over‐ and under‐reactions to new signals. The second part relates to the",3
JoF_2000_2021_full_text\1102.txt,"Hypothesis 2:Skewness increases with trading volume. Existing studies also offer fruitful results on the measurement of the costs of short selling. D'Avolio (2002) finds that larger stocks and stocks with higher institutional ownership are easier to sell short. According to our model, such stocks should have mor",3
JoF_2000_2021_full_text\1102.txt,"Hypothesis 3:Skewness decreases with stock size, institutional ownership, and ownership breadth. Note that the three variables, size, institutional ownership, and ownership breadth, are not independent. Larger stocks are more likely to be owned by institutional investors, larger stocks tend to have more institut",3
JoF_2000_2021_full_text\1102.txt,"Hypothesis 4:Controlling for institutional ownership and ownership breadth reduces the negative correlation between skewness and size. This hypothesis, if confirmed, provides an explanation for the phenomenon recently documented by Harvey and Siddique (2000) and Chen et al. (2001) that larger stocks tend to be m",3
JoF_2000_2021_full_text\1102.txt,"Hypothesis 1 above states that lower returns are associated with more negative skewness. Therefore, the liquidity premium effect may imply a negative correlation between volume and skewness. This liquidity premium effect connects volume and skewness through returns; thus it can be taken into account by controlli",3
JoF_2000_2021_full_text\1102.txt,"Hypothesis 1 by regressing skewness on contemporaneous and lagged returns. All variables have the predicted sign and are highly significant. Contemporaneous returns have a positive coefficient and lagged returns all have negative coefficients. These results lend strong support to Hypothesis 1, which predicts a p",3
JoF_2000_2021_full_text\1106.txt,we cannot reject the hypothesis that the CMP is on the sample mean–variance efficient frontier generated by the three Fama and French factors.,5
JoF_2000_2021_full_text\1111.txt,"We hypothesize that the ex ante rather than the ex post takeover probability captures the takeover deterrent effect, so we measure the perceived takeover probability prior to the repurchase decision. We first model takeover probability as a latent variable using prerepurchase firm characteristics.",2
JoF_2000_2021_full_text\1111.txt,"We hypothesize that managers repurchase when they perceive the threat of a possible takeover attempt. To test this hypothesis, we need the perceived takeover probability prior to the repurchase.",2
JoF_2000_2021_full_text\1111.txt,"o analyze the effect of prerepurchase takeover probability on the repurchase decision. Our first equation explains the takeover probability process, and our second equation explains repurchase activity. The timing of our takeover measure relative to the repurchase decision is critical to our tests. We hypothesize that managers repurchase when they perceive the threat of a possible takeover attempt. To test this hypothesis",6
JoF_2000_2021_full_text\1113.txt,") in case their actions have a constant dollar effect on the acquirer firm regardless of the acquirer firm size).  E. Main Hypothesis and Development of Empirical TestsOur tests center around the following main hypothesis: In recent years, a firm's stock and options have constituted a large part of the portfolios held by CEOs, which creates significant incentive effects in mergers and acquisitions. To test this hypothesis",6
JoF_2000_2021_full_text\1115.txt,"we hypothesize that they impact investors' views on future stock prices.Note that as a testament to the fundamental importance of sports, the effects of sports results extend far beyond simple mood changes. For instance, in many cases sport results have such a strong effect that they adversely affect health.",2
JoF_2000_2021_full_text\1115.txt,Our null hypothesis is that stock markets are unaffected by the outcomes of soccer matches.,4
JoF_2000_2021_full_text\1119.txt,"we start from the hypothesis that markets are completely segmented, we do not expect global industry PE ratios to contain information about local growth opportunities. Hence, GGO should not necessarily predict economic growth in country i.",5
JoF_2000_2021_full_text\1123.txt,"we hypothesize that relocating stocks with fewer brokers moving have more turnover in the trading crowd, and therefore, have more disruption in the trading process. Trade size, trade price, price volatility, and the number of trades are control variables.",2
JoF_2000_2021_full_text\1123.txt,"We hypothesize that this dislocation is due to disruptions in trading relationships. Consistent with theory, we also find that the increase in trading costs is positively related to the adverse selection of the relocating stock and is inversely related to the fraction of brokers that relocate with the moving stock.",2
JoF_2000_2021_full_text\1123.txt,"es yet more evidence in support of the claim that reputations play a role in the trading process on the floor of the NYSE. Finally, the coefficient on the post‐switch binary variable is negative, suggesting that regaining the ability to discipline is valuable. IV. ConclusionThis paper explores whether relationships on the floor of the NYSE play an economically important role in the trading process. To test this hypothesis",6
JoF_2000_2021_full_text\1132.txt,"we hypothesize that focus leads to greater investment efficiency. Thus, a higher Herfindahl index should increase the amount of funds allocated to segments with q above the firm's average q and reduce the amount allocated to segments with q below the firm's average q.",2
JoF_2000_2021_full_text\1133.txt,"we hypothesize that the expense and asset‐utilization ratios should be positively and negatively related to the natural logarithm of one plus the number of nonmanaging shareholders, respectively.Finally, agency costs should be higher at firms managed by an outsider.",2
JoF_2000_2021_full_text\1136.txt,"wealth abroad, the hypothesis that the U.S. market portfolio is globally mean‐variance efficient is not rejected. Our framework provides a different perspective on the benefits of international diversification. U.S.",5
JoF_2000_2021_full_text\1138.txt,our central hypothesis is that stocks that are small and that have low residual analyst coverage should display more positively autocorrelated returns at medium horizons.,4
JoF_2000_2021_full_text\1144.txt,"Hypothesis 1 would affirm that risk restraints on leverage do to some extent discipline efforts to increase the volatility of bank returns. Even if α1 is negative, risk‐shifting incentives would exist if β1 were positive.  II. Models of Deposit InsuranceThe variables IPP, V, and σV in equations (1) and (2) are n",3
JoF_2000_2021_full_text\115.txt,"Our null hypothesis is that δ = 0; that is, that employees’ participation choices are unaffected by the choices of their peers. A second challenge to identifying δ is the mechanical correlation between and because the choice of employee i influences both quantities.",4
JoF_2000_2021_full_text\115.txt,our hypothesis is that information about value‐maximizing investment rules spreads from “high‐information” employees to “low‐information” employees through direct communication between colleagues.,4
JoF_2000_2021_full_text\1150.txt,"we investigate the hypothesis that the banking reform improved the dynamics and competitiveness of product markets, and possibly enhanced allocative efficiency within these sectors.",5
JoF_2000_2021_full_text\1161.txt,"Our null hypothesis is that the difference between the likelihoods of bailouts of connected and nonconnected firms, absent IMF or WB aid, is equal to the difference between these likelihoods when IMF or WB aid is granted.",4
JoF_2000_2021_full_text\1164.txt,"Hypothesis 1: Cash is valued at a discount in countries with weak investor protection. While controlling shareholders benefit from siphoning cash after shares have been sold to minority investors, controlling shareholders gain from finding ways to commit to pay out all excess cash they accumulate before selling ",3
JoF_2000_2021_full_text\1164.txt,"Hypothesis 2: Dividends contribute more to firm value in countries with weaker investor protection.  II. Test DesignTo investigate whether liquid assets are valued more in countries with better investor protection and whether dividends are valued less, we need a regression model that relates firm value to firm c",3
JoF_2000_2021_full_text\1164.txt,"Hypothesis 1 is therefore that β16 is lower for countries with weaker investor protection, and the test of Hypothesis 2 is that coefficient β12 is larger for countries with weaker investor protection.  III. DataFor the tests we describe in the previous section, we require firm‐level data as well as data on inves",3
JoF_2000_2021_full_text\1168.txt,Hypothesis 1: The variance ratios in weather‐sensitive markets are lower than the variance ratio in the stock market and higher than the variance ratio in the currency market. Hypothesis 1 reflects the view that the structure of information flow and trading hours for weather‐sensitive markets lies between the st,3
JoF_2000_2021_full_text\1168.txt,"Hypothesis 2: The variance ratios in weather‐sensitive markets are lower during the weather‐sensitive season than during the rest of the year. Hypothesis 2 reflects the view that if public information about the weather is important to price discovery, the effects should be more pronounced during periods of the y",3
JoF_2000_2021_full_text\1168.txt,"Hypothesis 2 would also strengthen the support for Hypothesis 1. On any given day, there may be many nonweather‐related news events, such as crop reports, changes in demand forecasts, and government policy announcements that affect prices in weather‐sensitive markets. If this news is more likely to be released d",3
JoF_2000_2021_full_text\1168.txt,"Hypothesis 1 should hold, in particular, during the weather‐sensitive season. Hypothesis 1A: The variance ratios in weather‐sensitive markets are lower and more (less) comparable to those in the currency (stock) market for weekend returns than for weekday returns.  Hypothesis 2A: The seasonal difference in varia",3
JoF_2000_2021_full_text\1168.txt,"Hypothesis 3: The comovement of returns and absolute returns in markets sensitive to the same weather information is stronger during the weather‐sensitive season than during the rest of the year, and the seasonal difference is greater in the nontrading period than in the trading period. Hypothesis 3 reflects the",3
